peak_id	chrom	start	end	midpoint	gene_id	gene_name	gene_type	tss	distance_to_tss	abs_distance_to_tss	link_class	atac_delta	atac_fdr
chr1:23188829-23189328	chr1	23188829	23189328	23189078	ENSG00000179546	HTR1D	protein_coding	23194729	-5651	5651	proximal	1.8591794	1.966750916706103e-06
chr22:16901579-16902078	chr22	16901579	16902078	16901828	ENSG00000230481	IGKV1OR22-5	IG_V_pseudogene	16904696	-2868	2868	proximal	1.9258049	1.9755062769709144e-06
chr3:197309981-197310480	chr3	197309981	197310480	197310230	ENSG00000075711	DLG1	protein_coding	197299300	10930	10930	proximal	1.6011674	1.9755062769709144e-06
chr12:53496232-53496731	chr12	53496232	53496731	53496481	ENSG00000139625	MAP3K12	protein_coding	53500063	-3582	3582	proximal	1.5888886	1.9755062769709144e-06
chr16:77212031-77212530	chr16	77212031	77212530	77212280	ENSG00000226348	VN2R10P	unitary_pseudogene	77220406	-8126	8126	proximal	1.4230111	1.9755062769709144e-06
chr5:160260898-160261397	chr5	160260898	160261397	160261147	ENSG00000254373	RP11-34P1.2	processed_pseudogene	160258253	2894	2894	proximal	-2.1377943	1.9841583249721486e-06
chr20:40565003-40565502	chr20	40565003	40565502	40565252	ENSG00000204103	MAFB	protein_coding	40689240	-123988	123988	distal_unlinked	2.2144573	1.9992225741761505e-06
chr2:101989715-101990214	chr2	101989715	101990214	101989964	ENSG00000115590	IL1R2	protein_coding	101991844	-1880	1880	promoter	1.704587	2.001545012619843e-06
chr11:34302307-34302806	chr11	34302307	34302806	34302556	ENSG00000254708	RP1-145M24.1	processed_pseudogene	34336003	-33447	33447	proximal	2.0075068	2.021314577481682e-06
chr14:98953483-98953982	chr14	98953483	98953982	98953732	ENSG00000232573	RPL3P4	processed_pseudogene	98973301	-19569	19569	proximal	2.307618	2.021314577481682e-06
chr15:70505462-70505961	chr15	70505462	70505961	70505711	ENSG00000259473	RP11-96C21.1	lincRNA	70505928	-217	217	promoter	1.866843	2.021314577481682e-06
chr18:54776178-54776677	chr18	54776178	54776677	54776427	ENSG00000267524	RPSAP57	processed_pseudogene	54744750	31677	31677	proximal	1.7695487	2.042444800832995e-06
chr22:35749768-35750267	chr22	35749768	35750267	35750017	ENSG00000128313	APOL5	protein_coding	35717872	32145	32145	proximal	2.4184139	2.1062262448471564e-06
chr16:88332994-88333493	chr16	88332994	88333493	88333243	ENSG00000225614	ZNF469	protein_coding	88427471	-94228	94228	distal_unlinked	1.8443373	2.1062262448471564e-06
chr6:100202580-100203079	chr6	100202580	100203079	100202829	ENSG00000216378	RP3-344J20.1	processed_pseudogene	100177209	25620	25620	proximal	2.5884917	2.1062262448471564e-06
chr14:24061406-24061905	chr14	24061406	24061905	24061655	ENSG00000100884	CPNE6	protein_coding	24070837	-9182	9182	proximal	-1.9361517	2.2008727602713947e-06
chr11:115941892-115942391	chr11	115941892	115942391	115942141	ENSG00000281717	AP000797.5	miRNA	115938824	3317	3317	proximal	2.5195413	2.204760886982003e-06
chr20:46350382-46350881	chr20	46350382	46350881	46350631	ENSG00000080189	SLC35C2	protein_coding	46364458	-13827	13827	proximal	1.8893859	2.2293888805234804e-06
chr11:30990884-30991383	chr11	30990884	30991383	30991133	ENSG00000221629	AL162614.1	miRNA	31205759	-214626	214626	distal_unlinked	2.4428084	2.2293888805234804e-06
chr7:158811393-158811892	chr7	158811393	158811892	158811642	ENSG00000117868	ESYT2	protein_coding	158830253	-18611	18611	proximal	1.6090508	2.232466775770368e-06
chr17:67546391-67546890	chr17	67546391	67546890	67546640	ENSG00000264754	CTD-2653B5.1	sense_intronic	67524481	22159	22159	proximal	-1.7114574	2.292655750426508e-06
chr20:45780670-45781169	chr20	45780670	45781169	45780919	ENSG00000221046	RNU6ATAC38P	snRNA	45778698	2221	2221	proximal	1.8326502	2.292655750426508e-06
chr13:109256952-109257451	chr13	109256952	109257451	109257201	ENSG00000275216	RP11-54H7.4	lincRNA	109269634	-12433	12433	proximal	2.5721002	2.292655750426508e-06
chr8:103344750-103345249	chr8	103344750	103345249	103344999	ENSG00000164932	CTHRC1	protein_coding	103371515	-26516	26516	proximal	1.8735247	2.292655750426508e-06
chr18:57737610-57738109	chr18	57737610	57738109	57737859	ENSG00000202159	RNU6-742P	snRNA	57755394	-17535	17535	proximal	1.513197	2.3076213547718464e-06
chr14:93941578-93942077	chr14	93941578	93942077	93941827	ENSG00000258987	RP11-131H24.4	antisense	93939555	2272	2272	proximal	1.9961758	2.3076213547718464e-06
chr1:171434607-171435106	chr1	171434607	171435106	171434856	ENSG00000234333	CYCSP53	processed_pseudogene	171444963	-10107	10107	proximal	1.3474714	2.3076213547718464e-06
chr5:107396647-107397146	chr5	107396647	107397146	107396896	ENSG00000250273	PSMC1P5	processed_pseudogene	107195156	201740	201740	distal_unlinked	1.5317525	2.3076213547718464e-06
chr20:45061220-45061719	chr20	45061220	45061719	45061469	ENSG00000124134	KCNS1	protein_coding	45101112	-39643	39643	proximal	1.9333309	2.397945382422478e-06
chr19:45632466-45632965	chr19	45632466	45632965	45632715	ENSG00000199066	MIR330	miRNA	45639087	-6372	6372	proximal	1.917568	2.4495460822058266e-06
chr10:102455766-102456265	chr10	102455766	102456265	102456015	ENSG00000120055	C10orf95	lincRNA	102451543	4472	4472	proximal	1.7121172	2.4495460822058266e-06
chr3:158168036-158168535	chr3	158168036	158168535	158168285	ENSG00000168779	SHOX2	protein_coding	158106503	61782	61782	distal_unlinked	1.601053	2.459367735150374e-06
chr9:137437592-137438091	chr9	137437592	137438091	137437841	ENSG00000188833	ENTPD8	protein_coding	137441816	-3975	3975	proximal	-1.4259074	2.508669696356933e-06
chr9:129473813-129474312	chr9	129473813	129474312	129474062	ENSG00000264298	AL353803.1	miRNA	129478556	-4494	4494	proximal	-1.2223184	2.532765971428063e-06
chr3:52670778-52671277	chr3	52670778	52671277	52671027	ENSG00000163938	GNL3	protein_coding	52681156	-10129	10129	proximal	2.146073	2.58238720592855e-06
chr6:160696810-160697309	chr6	160696810	160697309	160697059	ENSG00000224477	RP1-81D8.3	lincRNA	160698288	-1229	1229	promoter	-2.5600135	2.6212371733254293e-06
chr7:130144227-130144726	chr7	130144227	130144726	130144476	ENSG00000229196	RP11-775D22.2	antisense	130141731	2745	2745	proximal	1.6708171	2.6212371733254293e-06
chr11:123174632-123175131	chr11	123174632	123175131	123174881	ENSG00000254710	CTD-2216M2.1	antisense	123188802	-13921	13921	proximal	2.1633878	2.631898376886221e-06
chr11:44574547-44575046	chr11	44574547	44575046	44574796	ENSG00000085117	CD82	protein_coding	44564427	10369	10369	proximal	1.7828736	2.643941693136753e-06
chr7:1080268-1080767	chr7	1080268	1080767	1080517	ENSG00000226291	AC091729.8	antisense	1080863	-346	346	promoter	-2.3709311	2.7722890616216643e-06
chr12:62625148-62625647	chr12	62625148	62625647	62625397	ENSG00000275180	RP11-631N16.4	lincRNA	62603909	21488	21488	proximal	1.9988207	2.8377284290744017e-06
chr12:64101444-64101943	chr12	64101444	64101943	64101693	ENSG00000255886	RP11-196H14.2	antisense	64097618	4075	4075	proximal	2.0539289	2.8377284290744017e-06
chr7:130352568-130353067	chr7	130352568	130353067	130352817	ENSG00000158525	CPA5	protein_coding	130344816	8001	8001	proximal	1.8575141	2.902942366980846e-06
chr1:98324044-98324543	chr1	98324044	98324543	98324293	ENSG00000221777	AL160056.1	miRNA	98373385	-49092	49092	proximal	1.7012527	2.9501795316202684e-06
chr10:33237903-33238402	chr10	33237903	33238402	33238152	ENSG00000238258	RP11-342D11.2	antisense	33211277	26875	26875	proximal	1.8323627	3.0071439126232333e-06
chr4:53508282-53508781	chr4	53508282	53508781	53508531	ENSG00000250930	LNX1-AS1	antisense	53496400	12131	12131	proximal	1.8230367	3.10561106316577e-06
chr10:57703721-57704220	chr10	57703721	57704220	57703970	ENSG00000235810	RP11-550A9.1	processed_pseudogene	57513157	190813	190813	distal_unlinked	1.7372208	3.1665067238546965e-06
chr7:134368779-134369278	chr7	134368779	134369278	134369028	ENSG00000229177	AC008154.5	lincRNA	134350791	18237	18237	proximal	2.3260326	3.1801930781211763e-06
chr11:130772468-130772967	chr11	130772468	130772967	130772717	ENSG00000255352	PPP1R10P1	processed_pseudogene	130791025	-18308	18308	proximal	1.9750825	3.2122545628058827e-06
chr8:27334496-27334995	chr8	27334496	27334995	27334745	ENSG00000120899	PTK2B	protein_coding	27311482	23263	23263	proximal	1.6400795	3.2122545628058827e-06
chr14:23951781-23952280	chr14	23951781	23952280	23952030	ENSG00000157326	DHRS4	protein_coding	23953586	-1556	1556	promoter	-1.7837917	3.2125640649360854e-06
chr6:3209081-3209580	chr6	3209081	3209580	3209330	ENSG00000230269	RP1-40E16.9	lincRNA	3195756	13574	13574	proximal	2.1878486	3.230671122887132e-06
chr11:34653965-34654464	chr11	34653965	34654464	34654214	ENSG00000135373	EHF	protein_coding	34621093	33121	33121	proximal	2.8114097	3.2327565665503266e-06
chr9:38380984-38381483	chr9	38380984	38381483	38381233	ENSG00000137124	ALDH1B1	protein_coding	38392664	-11431	11431	proximal	-1.8565501	3.2371289594488826e-06
chr9:137055033-137055532	chr9	137055033	137055532	137055282	ENSG00000054179	ENTPD2	protein_coding	137054045	1237	1237	promoter	-1.1892776	3.2731432112227428e-06
chr17:59370594-59371093	chr17	59370594	59371093	59370843	ENSG00000263857	MIR4729	miRNA	59366083	4760	4760	proximal	-1.2699049	3.2731432112227428e-06
chr3:123605003-123605502	chr3	123605003	123605502	123605252	ENSG00000239523	MYLK-AS1	antisense	123585542	19710	19710	proximal	2.1039531	3.2976738512903992e-06
chr14:104792008-104792507	chr14	104792008	104792507	104792257	ENSG00000142208	AKT1	protein_coding	104795751	-3494	3494	proximal	-1.9536426	3.299016152637086e-06
chr22:50490866-50491365	chr22	50490866	50491365	50491115	ENSG00000100253	MIOX	protein_coding	50486784	4331	4331	proximal	-1.8978364	3.3021242199824536e-06
chr1:235908741-235909240	chr1	235908741	235909240	235908990	ENSG00000206803	RNU6-968P	snRNA	235915415	-6425	6425	proximal	1.8002585	3.3021242199824536e-06
chr2:29519244-29519743	chr2	29519244	29519743	29519493	ENSG00000280947	AC093756.1	miRNA	29681102	-161609	161609	distal_unlinked	2.3275332	3.3021242199824536e-06
chr14:94373647-94374146	chr14	94373647	94374146	94373896	ENSG00000258597	SERPINA2	polymorphic_pseudogene	94366698	7198	7198	proximal	1.9065659	3.3021242199824536e-06
chr16:84586988-84587487	chr16	84586988	84587487	84587237	ENSG00000261471	RP11-61F12.1	antisense	84594393	-7156	7156	proximal	-1.9234781	3.307478276049762e-06
chr19:7870600-7871099	chr19	7870600	7871099	7870849	ENSG00000268120	CTD-3193O13.11	lincRNA	7870561	288	288	promoter	2.4896426	3.307478276049762e-06
chr14:101073166-101073665	chr14	101073166	101073665	101073415	ENSG00000223403	MEG9	lincRNA	101069911	3504	3504	proximal	2.0271182	3.307478276049762e-06
chr17:19716441-19716940	chr17	19716441	19716940	19716690	ENSG00000180638	SLC47A2	protein_coding	19718979	-2289	2289	proximal	-1.8884451	3.307478276049762e-06
chr16:9302074-9302573	chr16	9302074	9302573	9302323	ENSG00000261617	RP11-243A14.1	lincRNA	9355588	-53265	53265	distal_unlinked	-1.842173	3.307478276049762e-06
chr14:58272448-58272947	chr14	58272448	58272947	58272697	ENSG00000258682	CTD-2002H8.2	sense_overlapping	58264662	8035	8035	proximal	-1.764475	3.307478276049762e-06
chr12:74890112-74890611	chr12	74890112	74890611	74890361	ENSG00000257434	RP11-81K13.1	antisense	75020969	-130608	130608	distal_unlinked	1.3706266	3.372351621845609e-06
chr16:30740306-30740805	chr16	30740306	30740805	30740555	ENSG00000260899	RP11-2C24.4	processed_transcript	30740667	-112	112	promoter	1.1120932	3.390854347394488e-06
chr3:190586445-190586944	chr3	190586445	190586944	190586694	ENSG00000231047	GCNT1P3	processed_pseudogene	190624595	-37901	37901	proximal	1.4119432	3.472934685959072e-06
chr14:91332101-91332600	chr14	91332101	91332600	91332350	ENSG00000265856	AL133153.1	miRNA	91333713	-1363	1363	promoter	-1.5781925	3.543094125812544e-06
chr5:136020934-136021433	chr5	136020934	136021433	136021183	ENSG00000120708	TGFBI	protein_coding	136028895	-7712	7712	proximal	2.1157975	3.5979159015121105e-06
chr14:103881334-103881833	chr14	103881334	103881833	103881583	ENSG00000258534	CTD-2134A5.4	lincRNA	103880111	1472	1472	promoter	-1.3520125	3.620446897504543e-06
chr8:67824650-67825149	chr8	67824650	67825149	67824899	ENSG00000255531	NDUFS5P6	processed_pseudogene	67849044	-24145	24145	proximal	2.5919452	3.625741304596205e-06
chr16:85307531-85308030	chr16	85307531	85308030	85307780	ENSG00000266307	MIR5093	miRNA	85306325	1455	1455	promoter	-1.7310773	3.681780374183319e-06
chr17:48972286-48972785	chr17	48972286	48972785	48972535	ENSG00000159224	GIP	protein_coding	48968596	3939	3939	proximal	1.8333572	3.689612856514286e-06
chr12:105561805-105562304	chr12	105561805	105562304	105562054	ENSG00000257859	CASC18	lincRNA	105704203	-142149	142149	distal_unlinked	2.1659446	3.689612856514286e-06
chr3:72347912-72348411	chr3	72347912	72348411	72348161	ENSG00000260670	RP11-447M4.1	lincRNA	72324027	24134	24134	proximal	1.5231185	3.689612856514286e-06
chr1:48036637-48037136	chr1	48036637	48037136	48036886	ENSG00000226133	RP4-683M8.2	lincRNA	48053545	-16659	16659	proximal	1.8385832	3.830210433904277e-06
chr12:90091181-90091680	chr12	90091181	90091680	90091430	ENSG00000257194	RP11-567C2.1	lincRNA	90107739	-16309	16309	proximal	2.003665	3.87412952200141e-06
chr9:94666389-94666888	chr9	94666389	94666888	94666638	ENSG00000165140	FBP1	protein_coding	94640249	26389	26389	proximal	-1.97088	3.884518763125344e-06
chr21:34746297-34746796	chr21	34746297	34746796	34746546	ENSG00000234380	LINC01426	antisense	34745757	789	789	promoter	2.0898046	3.893612434941664e-06
chr9:127990958-127991457	chr9	127990958	127991457	127991207	ENSG00000167106	FAM102A	protein_coding	127980513	10694	10694	proximal	-2.227336	3.907210936550549e-06
chr1:241557018-241557517	chr1	241557018	241557517	241557267	ENSG00000117009	KMO	protein_coding	241532134	25133	25133	proximal	2.2085724	3.908834099986978e-06
chr5:59792942-59793441	chr5	59792942	59793441	59793191	ENSG00000202601	MIR582	miRNA	59703708	89483	89483	distal_unlinked	2.0595877	4.004915044434178e-06
chr17:13540986-13541485	chr17	13540986	13541485	13541235	ENSG00000221698	MIR548H3	miRNA	13543646	-2411	2411	proximal	3.2064795	4.004915044434178e-06
chr2:9287622-9288121	chr2	9287622	9288121	9287871	ENSG00000213772	EIF1P7	processed_pseudogene	9271628	16243	16243	proximal	2.3763423	4.004915044434178e-06
chr11:111367378-111367877	chr11	111367378	111367877	111367627	ENSG00000253099	RNU2-60P	snRNA	111383092	-15465	15465	proximal	-1.8576622	4.004915044434178e-06
chr20:45779541-45780040	chr20	45779541	45780040	45779790	ENSG00000221046	RNU6ATAC38P	snRNA	45778698	1092	1092	promoter	1.6546766	4.089843630616593e-06
chr1:115659710-115660209	chr1	115659710	115660209	115659959	ENSG00000173218	VANGL1	protein_coding	115641953	18006	18006	proximal	-2.4165325	4.129835100563639e-06
chr1:210597702-210598201	chr1	210597702	210598201	210597951	ENSG00000279333	RP11-75I2.3	TEC	210678315	-80364	80364	distal_unlinked	1.8879911	4.212501510938972e-06
chr9:136758223-136758722	chr9	136758223	136758722	136758472	ENSG00000204001	LCN8	protein_coding	136758543	-71	71	promoter	-2.4010408	4.434627861201957e-06
chr1:202236287-202236786	chr1	202236287	202236786	202236536	ENSG00000133067	LGR6	protein_coding	202193901	42635	42635	proximal	1.6942798	4.49422251271803e-06
chr2:28160871-28161370	chr2	28160871	28161370	28161120	ENSG00000277035	uc_338	misc_RNA	28134585	26535	26535	proximal	1.8207493	4.537310416799903e-06
chr7:114979321-114979820	chr7	114979321	114979820	114979570	ENSG00000135272	MDFIC	protein_coding	114922154	57416	57416	distal_unlinked	1.8642089	4.545114574473609e-06
chr14:67683783-67684282	chr14	67683783	67684282	67684032	ENSG00000258466	RP11-1012A1.4	protein_coding	67690367	-6335	6335	proximal	-1.475628	4.570121984055052e-06
chr8:37599683-37600182	chr8	37599683	37600182	37599932	ENSG00000254290	RP11-150O12.3	lincRNA	37599858	74	74	promoter	2.4764628	4.603533528102499e-06
chr1:172746244-172746743	chr1	172746244	172746743	172746493	ENSG00000229785	SLC25A38P1	processed_pseudogene	172748560	-2067	2067	proximal	1.1673617	4.629855795634796e-06
chr2:33405727-33406226	chr2	33405727	33406226	33405976	ENSG00000152689	RASGRP3	protein_coding	33436324	-30348	30348	proximal	1.991353	4.680162228162992e-06
chr9:77707628-77708127	chr9	77707628	77708127	77707877	ENSG00000156049	GNA14	protein_coding	77648307	59570	59570	distal_unlinked	1.5901818	4.685094978290836e-06
chr2:20580673-20581172	chr2	20580673	20581172	20580922	ENSG00000269976	RP11-130L8.2	lincRNA	20586686	-5764	5764	proximal	-1.3194722	4.685094978290836e-06
chr10:98460788-98461287	chr10	98460788	98461287	98461037	ENSG00000107521	HPS1	protein_coding	98446947	14090	14090	proximal	1.4021821	4.685094978290836e-06
chr19:19591007-19591506	chr19	19591007	19591506	19591256	ENSG00000267178	PHF5CP	processed_pseudogene	19588415	2841	2841	proximal	1.3567225	4.723385595261798e-06
chr7:43487272-43487771	chr7	43487272	43487771	43487521	ENSG00000231638	AC011738.4	antisense	43522542	-35021	35021	proximal	1.9008851	4.797619358396144e-06
chr16:16014804-16015303	chr16	16014804	16015303	16015053	ENSG00000103222	ABCC1	protein_coding	15949577	65476	65476	distal_unlinked	-1.4390248	4.811773364948075e-06
chr21:43921203-43921702	chr21	43921203	43921702	43921452	ENSG00000199598	RNU6-859P	snRNA	43919901	1551	1551	promoter	-1.6364588	4.861575200108909e-06
chr16:12652090-12652589	chr16	12652090	12652589	12652339	ENSG00000274834	CTD-3037G24.5	lincRNA	12614451	37888	37888	proximal	-2.0914373	4.990519250518694e-06
chr3:45092260-45092759	chr3	45092260	45092759	45092509	ENSG00000163814	CDCP1	protein_coding	45146422	-53913	53913	distal_unlinked	2.4837306	4.996189385877167e-06
chr17:16873052-16873551	chr17	16873052	16873551	16873301	ENSG00000229749	COTL1P1	processed_pseudogene	16853935	19366	19366	proximal	-1.6263723	5.1533956756671225e-06
chr11:8059667-8060166	chr11	8059667	8060166	8059916	ENSG00000248332	TUB-AS1	sense_intronic	8060038	-122	122	promoter	-2.4209762	5.1533956756671225e-06
chr13:30569871-30570370	chr13	30569871	30570370	30570120	ENSG00000224117	PTPN2P2	processed_pseudogene	30553670	16450	16450	proximal	1.8243912	5.1533956756671225e-06
chr2:109284774-109285273	chr2	109284774	109285273	109285023	ENSG00000265965	MIR4266	miRNA	109313625	-28602	28602	proximal	-1.3762026	5.1533956756671225e-06
chr4:3712847-3713346	chr4	3712847	3713346	3713096	ENSG00000250632	RP3-513G18.2	lincRNA	3677855	35241	35241	proximal	-1.9935436	5.213175116320418e-06
chr4:88062846-88063345	chr4	88062846	88063345	88063095	ENSG00000118762	PKD2	protein_coding	88007668	55427	55427	distal_unlinked	-1.8711566	5.354333807322722e-06
chr17:13544378-13544877	chr17	13544378	13544877	13544627	ENSG00000221698	MIR548H3	miRNA	13543646	981	981	promoter	2.6801527	5.354333807322722e-06
chr17:65170798-65171297	chr17	65170798	65171297	65171047	ENSG00000265883	RP11-169I9.2	processed_pseudogene	65185482	-14435	14435	proximal	-1.7507973	5.616155034909693e-06
chr2:239461475-239461974	chr2	239461475	239461974	239461724	ENSG00000068024	HDAC4	protein_coding	239401654	60070	60070	distal_unlinked	2.7075179	5.6592016466989015e-06
chr1:6285275-6285774	chr1	6285275	6285774	6285524	ENSG00000158292	GPR153	protein_coding	6260975	24549	24549	proximal	-1.7994416	5.800261408817366e-06
chr1:209389059-209389558	chr1	209389059	209389558	209389308	ENSG00000231648	RP11-372M18.2	lincRNA	209367662	21646	21646	proximal	1.6749703	5.83300713423793e-06
chr18:36309420-36309919	chr18	36309420	36309919	36309669	ENSG00000134775	FHOD3	protein_coding	36297714	11955	11955	proximal	1.3850911	5.909352119463355e-06
chr8:37871288-37871787	chr8	37871288	37871787	37871537	ENSG00000280064	RP11-205M5.3	TEC	37858949	12588	12588	proximal	2.9507747	5.93519989972129e-06
chr2:234004142-234004641	chr2	234004142	234004641	234004391	ENSG00000274951	AC005538.1	miRNA	234012265	-7874	7874	proximal	2.0953732	6.029543428760468e-06
chr8:37870122-37870621	chr8	37870122	37870621	37870371	ENSG00000280064	RP11-205M5.3	TEC	37858949	11422	11422	proximal	2.116251	6.063072165575301e-06
chr9:95138507-95139006	chr9	95138507	95139006	95138756	ENSG00000251884	RNA5SP288	rRNA	95142541	-3785	3785	proximal	-1.931157	6.148091982578648e-06
chr8:29511506-29512005	chr8	29511506	29512005	29511755	ENSG00000253632	RP11-486M23.1	lincRNA	29527312	-15557	15557	proximal	1.6368792	6.148091982578648e-06
chr19:14545325-14545824	chr19	14545325	14545824	14545574	ENSG00000132002	DNAJB1	protein_coding	14529770	15804	15804	proximal	-1.361805	6.294358692344178e-06
chr20:10604486-10604985	chr20	10604486	10604985	10604735	ENSG00000235036	RP5-1099D15.1	processed_pseudogene	10614229	-9494	9494	proximal	1.6512586	6.476363735641895e-06
chr17:48483337-48483836	chr17	48483337	48483836	48483586	ENSG00000206805	Y_RNA	misc_RNA	48479097	4489	4489	proximal	2.4786797	6.476363735641895e-06
chr11:34654745-34655244	chr11	34654745	34655244	34654994	ENSG00000135373	EHF	protein_coding	34621093	33901	33901	proximal	2.3743849	6.513554126606507e-06
chr6:3341492-3341991	chr6	3341492	3341991	3341741	ENSG00000272320	RP11-506K6.4	antisense	3311662	30079	30079	proximal	2.070334	6.61075437888528e-06
chr3:45138820-45139319	chr3	45138820	45139319	45139069	ENSG00000163814	CDCP1	protein_coding	45146422	-7353	7353	proximal	1.9642792	6.676194946808888e-06
chr1:63662068-63662567	chr1	63662068	63662567	63662317	ENSG00000244256	RN7SL130P	misc_RNA	63655743	6574	6574	proximal	1.9472911	6.676194946808888e-06
chr9:101443238-101443737	chr9	101443238	101443737	101443487	ENSG00000270982	RP11-490D19.11	processed_pseudogene	101449801	-6314	6314	proximal	-2.7205667	6.682874279219533e-06
chr16:57786814-57787313	chr16	57786814	57787313	57787063	ENSG00000187185	CTD-2600O9.1	lincRNA	57798186	-11123	11123	proximal	-2.5717235	6.981862756274477e-06
chr2:3493572-3494071	chr2	3493572	3494071	3493821	ENSG00000271868	RP11-1293J14.1	lincRNA	3496956	-3135	3135	proximal	2.6507106	7.067671416600582e-06
chr11:102047164-102047663	chr11	102047164	102047663	102047413	ENSG00000137691	C11orf70	protein_coding	102047443	-30	30	promoter	1.6212951	7.067671416600582e-06
chr4:188439857-188440356	chr4	188439857	188440356	188440106	ENSG00000249378	LINC01060	lincRNA	188400736	39370	39370	proximal	-1.7230957	7.24138860567714e-06
chr1:226549778-226550277	chr1	226549778	226550277	226550027	ENSG00000203685	C1orf95	protein_coding	226548800	1227	1227	promoter	-1.7733235	7.272014887947344e-06
chr12:110109023-110109522	chr12	110109023	110109522	110109272	ENSG00000122970	IFT81	protein_coding	110124335	-15063	15063	proximal	2.0835335	7.334349441961493e-06
chr5:107425663-107426162	chr5	107425663	107426162	107425912	ENSG00000250273	PSMC1P5	processed_pseudogene	107195156	230756	230756	distal_unlinked	2.376058	7.334349441961493e-06
chr13:98033800-98034299	chr13	98033800	98034299	98034049	ENSG00000232217	FTLP8	processed_pseudogene	97987216	46833	46833	proximal	-1.4543325	7.411659500717374e-06
chr11:65412646-65413145	chr11	65412646	65413145	65412895	ENSG00000245532	NEAT1	lincRNA	65422774	-9879	9879	proximal	-1.0803993	7.5170950471677616e-06
chr22:22817746-22818245	chr22	22817746	22818245	22817995	ENSG00000211670	IGLV3-9	IG_V_gene	22819010	-1015	1015	promoter	-1.9141037	7.560071488116866e-06
chr12:123126417-123126916	chr12	123126417	123126916	123126666	ENSG00000090975	PITPNM2	protein_coding	123150015	-23349	23349	proximal	2.2284858	7.597961209193649e-06
chr1:22739598-22740097	chr1	22739598	22740097	22739847	ENSG00000216157	AL611946.1	miRNA	22748911	-9064	9064	proximal	1.8193696	7.600451433303471e-06
chr5:107395760-107396259	chr5	107395760	107396259	107396009	ENSG00000250273	PSMC1P5	processed_pseudogene	107195156	200853	200853	distal_unlinked	2.7028332	7.600451433303471e-06
chr5:125484171-125484670	chr5	125484171	125484670	125484420	ENSG00000260192	RP11-756H20.1	lincRNA	125493261	-8841	8841	proximal	2.0483544	7.600451433303471e-06
chr5:1185813-1186312	chr5	1185813	1186312	1186062	ENSG00000249201	CTD-3080P12.3	antisense	1178605	7457	7457	proximal	-1.9127009	7.655342805001908e-06
chr7:102875792-102876291	chr7	102875792	102876291	102876041	ENSG00000238324	RN7SKP198	misc_RNA	102857450	18591	18591	proximal	2.2206397	7.66083591683534e-06
chr1:241591295-241591794	chr1	241591295	241591794	241591544	ENSG00000203668	CHML	protein_coding	241635930	-44386	44386	proximal	1.6438646	7.839930982377702e-06
chr13:112562743-112563242	chr13	112562743	112563242	112562992	ENSG00000126216	TUBGCP3	protein_coding	112588167	-25175	25175	proximal	-2.3402991	8.053387766122864e-06
chr1:96362501-96363000	chr1	96362501	96363000	96362750	ENSG00000231987	RP5-898J17.1	lincRNA	96374125	-11375	11375	proximal	3.2260654	8.06435680493929e-06
chr10:126247324-126247823	chr10	126247324	126247823	126247573	ENSG00000213170	RP11-81B10.2	processed_pseudogene	126272818	-25245	25245	proximal	2.353216	8.321687941771016e-06
chr10:5573965-5574464	chr10	5573965	5574464	5574214	ENSG00000242147	RP13-463N16.6	lincRNA	5596118	-21904	21904	proximal	-2.290525	8.437825363760362e-06
chr16:54175118-54175617	chr16	54175118	54175617	54175367	ENSG00000275147	RP11-324D17.3	lincRNA	54152855	22512	22512	proximal	-2.1926003	8.441847590488688e-06
chr2:235571248-235571747	chr2	235571248	235571747	235571497	ENSG00000235529	AGAP1-IT1	sense_intronic	235505751	65746	65746	distal_unlinked	-1.218833	8.441847590488688e-06
chr1:41742159-41742658	chr1	41742159	41742658	41742408	ENSG00000264896	AL451006.1	miRNA	41759141	-16733	16733	proximal	1.5493317	8.491531991899342e-06
chr11:71207497-71207996	chr11	71207497	71207996	71207746	ENSG00000162105	SHANK2	protein_coding	71252577	-44831	44831	proximal	-2.196731	8.515726165423226e-06
chr15:89836557-89837056	chr15	89836557	89837056	89836806	ENSG00000264966	MIR5094	miRNA	89850721	-13915	13915	proximal	1.8075147	8.517770544252377e-06
chr21:34885033-34885532	chr21	34885033	34885532	34885282	ENSG00000234380	LINC01426	antisense	34745757	139525	139525	distal_unlinked	1.2010665	8.553403302482448e-06
chr1:153490240-153490739	chr1	153490240	153490739	153490489	ENSG00000263841	RN7SL44P	misc_RNA	153500764	-10275	10275	proximal	2.0054197	8.726226527919682e-06
chr10:116056897-116057396	chr10	116056897	116057396	116057146	ENSG00000151892	GFRA1	protein_coding	116273467	-216321	216321	distal_unlinked	2.4940286	8.820865799185254e-06
chr4:139834933-139835432	chr4	139834933	139835432	139835182	ENSG00000252233	RN7SKP253	misc_RNA	139794433	40749	40749	proximal	-2.2270544	8.867146725091514e-06
chr1:224593017-224593516	chr1	224593017	224593516	224593266	ENSG00000229991	AKR1B1P1	processed_pseudogene	224574434	18832	18832	proximal	2.0777383	8.925467557470015e-06
chr17:31560709-31561208	chr17	31560709	31561208	31560958	ENSG00000278546	RP1-41C23.4	lincRNA	31560132	826	826	promoter	1.0365615	9.02668265403215e-06
chr17:21289758-21290257	chr17	21289758	21290257	21290007	ENSG00000034152	MAP2K3	protein_coding	21284672	5335	5335	proximal	-1.2044009	9.170335617908346e-06
